,Datetime,Year Indicator,Month Indicator,Hour Indicator,Continuity,Mont T,Mont H,Mont WC,Queb T,Queb H,Queb WC,Sher T,Sher H,Sher WC,Troi T,Troi H,Troi WC,Sagu T,Sagu H,Sagu WC,Energy Demand
0,2018-01-01 00:00:00,2018,1,0,1,-23.4,65.0,-34.0,-24.1,62.0,-36.0,-24.2,73.0,-32.0,-23.7,64.0,-30.0,-22.4,74.0,-34.0,32709
1,2018-01-01 01:00:00,2018,1,1,2,-22.8,63.0,-30.0,-24.7,64.0,-36.0,-24.6,75.0,-33.0,-24.4,67.0,-31.0,-22.4,74.0,-34.0,32646
2,2018-01-01 02:00:00,2018,1,2,3,-24.0,65.0,-30.0,-24.9,67.0,-36.0,-24.5,75.0,-34.0,-24.6,66.0,-31.0,-22.3,74.0,-35.0,32805
3,2018-01-01 03:00:00,2018,1,3,4,-24.2,67.0,-30.0,-25.1,67.0,-37.0,-25.3,75.0,-33.0,-25.7,68.0,-31.0,-22.4,74.0,-34.0,32934
4,2018-01-01 04:00:00,2018,1,4,5,-24.7,68.0,-32.0,-25.2,67.0,-37.0,-25.8,75.0,-34.0,-25.3,66.0,-32.0,-22.4,74.0,-34.0,33246
5,2018-01-01 05:00:00,2018,1,5,6,-24.5,66.0,-33.0,-25.2,67.0,-36.0,-26.0,75.0,-36.0,-25.8,66.0,-32.0,-22.7,74.0,-34.0,34013
6,2018-01-01 06:00:00,2018,1,6,7,-24.9,66.0,-34.0,-25.2,67.0,-38.0,-27.3,77.0,-37.0,-27.0,74.0,-33.0,-22.8,67.0,-35.0,34638
7,2018-01-01 07:00:00,2018,1,7,8,-25.2,67.0,-33.0,-25.2,67.0,-37.0,-27.2,76.0,-35.0,-29.6,73.0,-38.0,-23.1,73.0,-35.0,34807
8,2018-01-01 08:00:00,2018,1,8,9,-24.9,66.0,-33.0,-24.7,66.0,-37.0,-27.3,76.0,-35.0,-27.3,70.0,-36.0,-23.1,73.0,-36.0,34675
9,2018-01-01 09:00:00,2018,1,9,10,-23.4,61.0,-34.0,-23.7,65.0,-36.0,-25.6,74.0,-33.0,-28.3,66.0,-37.0,-23.3,80.0,-36.0,33621
10,2018-01-01 10:00:00,2018,1,10,11,-22.5,59.0,-32.0,-22.7,62.0,-34.0,-24.3,73.0,-33.0,-26.5,65.0,-36.0,-23.2,73.0,-34.0,33423
